Дата;Процент попадания данных из источника 1 в итоговый отчет;Процент попадания данных из источника 2 в итоговый отчет;Процент попадания данных из источника 3 в итоговый отчет;Процент попадания данных из хотя бы одного источника данных в итоговый отчет;Среднее количество записей из источника 1, попавшее в отчет (только для отчетов с данными из источника 1);Среднее количество записей из источника 2, попавшее в отчет (только для отчетов с данными из источника 2);Среднее количество записей из источника 3, попавшее в отчет (только для отчетов с данными из источника 3);Среднее количество записей из любого источника, попавших в отчет (только для отчетов с данными хотя бы из одного источника)
16.09.2024;26,4;37,4;5,3;47,8;1,326;1,489;1,219;2,035
17.09.2024;26,1;37,2;5,4;47,9;1,304;1,5;1,185;2,008
18.09.2024;25,8;36,9;5,2;47,2;1,313;1,48;1,204;2,006
19.09.2024;26,3;38,1;5,4;48,1;1,315;1,503;1,203;2,044
20.09.2024;26;37,2;5,5;47,6;1,312;1,517;1,169;2,036
21.09.2024;25,9;37,6;5,6;47,9;1,317;1,494;1,184;2,028
22.09.2024;26,5;38,2;5,2;48,1;1,322;1,485;1,195;2,039
23.09.2024;26,1;37,8;5,7;48;1,329;1,487;1,178;2,034
24.09.2024;24,8;36,7;5,3;46,5;1,306;1,478;1,206;2,001
25.09.2024;26;37,4;5,2;47,6;1,316;1,495;1,21;2,025
26.09.2024;26;37,1;5,1;47,3;1,319;1,472;1,24;2,013
27.09.2024;26,5;37,7;5,4;48,1;1,315;1,473;1,195;2,015
28.09.2024;26,6;38,9;5,5;48,9;1,312;1,493;1,193;2,034
29.09.2024;27,2;38,8;5,8;49,3;1,328;1,482;1,184;2,038
30.09.2024;26,1;37,6;5,3;48;1,301;1,476;1,19;1,997
01.10.2024;25,8;37,4;5,7;47,6;1,318;1,484;1,208;2,023
02.10.2024;26,1;38;5,7;48,1;1,315;1,495;1,202;2,034
03.10.2024;26;37,5;5,8;47,7;1,332;1,508;1,193;2,054
04.10.2024;27,1;38,5;5,6;48,7;1,345;1,485;1,203;2,059
05.10.2024;26,2;37,6;5,5;47,9;1,331;1,514;1,213;2,057
06.10.2024;25,7;37,5;6;47,6;1,316;1,499;1,232;2,046
07.10.2024;25,6;37,4;5,7;47,5;1,336;1,504;1,226;2,052
08.10.2024;25,5;36;5,2;46,8;1,321;1,466;1,2;1,983
09.10.2024;26,1;36,7;5,6;46,9;1,32;1,484;1,199;2,036
10.10.2024;25,1;37,2;5,3;47,1;1,316;1,5;1,214;2,023
11.10.2024;26,1;37,6;5,7;47,7;1,313;1,485;1,222;2,037
12.10.2024;26,2;38,1;5,7;48,2;1,305;1,498;1,208;2,035
13.10.2024;25,8;37,6;5,6;47,6;1,311;1,479;1,208;2,017
14.10.2024;25,7;36,6;5,6;47,1;1,318;1,491;1,202;2,019
15.10.2024;25;37;5,7;46,8;1,33;1,502;1,218;2,047
16.10.2024;25,4;37,2;5,3;47,3;1,31;1,475;1,225;2,001
17.10.2024;25,6;36,9;5,2;46,8;1,321;1,482;1,248;2,03
18.10.2024;26,4;37,1;5,5;47,7;1,314;1,495;1,248;2,035
19.10.2024;26,6;38,3;6;48,6;1,317;1,499;1,218;2,053
20.10.2024;25,9;38,2;6;48,3;1,319;1,483;1,183;2,026
21.10.2024;26,6;37,9;5,6;48,4;1,333;1,498;1,208;2,046
22.10.2024;25,7;37,4;5,7;47,5;1,32;1,49;1,238;2,037
23.10.2024;26,3;38,2;6,1;48,1;1,327;1,514;1,214;2,079
24.10.2024;26;37;5,5;47,4;1,319;1,496;1,22;2,032
25.10.2024;25,6;37,3;5,9;47,8;1,328;1,501;1,23;2,036
26.10.2024;26,1;38,3;5,9;48,6;1,317;1,491;1,217;2,032
27.10.2024;25,9;37,8;5,6;48,1;1,304;1,506;1,22;2,03
28.10.2024;25,1;37,7;5,6;47,4;1,318;1,478;1,198;2,016
29.10.2024;25,7;37,4;5,4;47,7;1,326;1,496;1,199;2,024
30.10.2024;25,9;38,3;5,5;48,2;1,321;1,51;1,198;2,047
31.10.2024;26,3;38,4;5,6;48,4;1,317;1,515;1,247;2,062
01.11.2024;27;38,4;5,6;48,5;1,302;1,502;1,212;2,055
02.11.2024;25,2;37;5,4;46,8;1,313;1,502;1,172;2,033
03.11.2024;26,3;39,2;5,8;49,2;1,314;1,512;1,223;2,05
04.11.2024;25,6;38,5;5,8;48,3;1,305;1,5;1,187;2,033
05.11.2024;25,4;37,6;5,7;47,6;1,315;1,508;1,251;2,041
06.11.2024;26;38,1;5,3;48,3;1,317;1,491;1,229;2,023
07.11.2024;26,1;38,5;5,3;48,3;1,315;1,522;1,204;2,057
08.11.2024;26,2;38;5,4;48,4;1,318;1,507;1,203;2,03
09.11.2024;25,9;38,4;5,7;48,3;1,314;1,498;1,253;2,046
10.11.2024;26,2;39,2;5,7;49;1,34;1,523;1,242;2,08
11.11.2024;25,1;36,4;5,5;46,6;1,335;1,511;1,248;2,043
12.11.2024;25,5;37,1;5,7;47,2;1,332;1,485;1,229;2,035
13.11.2024;26,1;38;5,8;48,2;1,336;1,504;1,197;2,052
14.11.2024;26,2;38,4;5,4;48,5;1,32;1,488;1,229;2,027
15.11.2024;25,7;38;5,6;48;1,322;1,521;1,217;2,055
16.11.2024;25,9;38,2;5,4;48,3;1,331;1,504;1,195;2,038
17.11.2024;26,4;37,7;5,9;48;1,338;1,53;1,221;2,087
18.11.2024;26,1;38,3;6;48,7;1,302;1,517;1,204;2,04
19.11.2024;28,2;40,6;5,9;50,8;1,333;1,539;1,185;2,11
20.11.2024;27,6;39,9;5,9;50,1;1,327;1,525;1,212;2,091
21.11.2024;26,9;38,4;5,8;48,3;1,332;1,531;1,219;2,107
